 iperf3 -c 192.168.181.214 -t 300
Connecting to host 192.168.181.214, port 5201
[  4] local 192.168.206.92 port 33596 connected to 192.168.181.214 port 5201
[  4]  96.00-97.00  sec   656 MBytes  5.50 Gbits/sec    0   2.20 MBytes       
[  4]  97.00-98.00  sec   608 MBytes  5.10 Gbits/sec    0   2.39 MBytes       
[  4]  98.00-99.00  sec   584 MBytes  4.90 Gbits/sec    0   2.56 MBytes       
[  4]  99.00-100.00 sec   625 MBytes  5.24 Gbits/sec    0   2.72 MBytes       
[  4] 100.00-101.00 sec   488 MBytes  4.10 Gbits/sec    0   2.85 MBytes       
[  4] 101.00-102.00 sec   484 MBytes  4.06 Gbits/sec    0   2.97 MBytes       
[  4] 102.00-103.00 sec   475 MBytes  3.98 Gbits/sec    0   3.00 MBytes       
[  4] 103.00-104.00 sec   531 MBytes  4.45 Gbits/sec    0   3.00 MBytes       
[  4] 104.00-105.00 sec   487 MBytes  4.09 Gbits/sec    0   3.00 MBytes       
[  4] 105.00-106.00 sec   474 MBytes  3.97 Gbits/sec  633   1.62 MBytes       
[  4] 106.00-107.00 sec   499 MBytes  4.19 Gbits/sec    0   1.82 MBytes       
[  4] 107.00-108.00 sec   559 MBytes  4.69 Gbits/sec   20   1.10 MBytes       
[  4] 108.00-109.00 sec   461 MBytes  3.87 Gbits/sec    0   1.37 MBytes       
[  4] 109.00-110.00 sec   437 MBytes  3.67 Gbits/sec   13    881 KBytes       
[  4] 110.00-111.00 sec   450 MBytes  3.77 Gbits/sec    0   1.19 MBytes       
[  4] 111.00-112.00 sec   475 MBytes  3.98 Gbits/sec    0   1.46 MBytes       
[  4] 112.00-113.00 sec   451 MBytes  3.78 Gbits/sec    0   1.67 MBytes       
[  4] 113.00-114.00 sec   462 MBytes  3.88 Gbits/sec    0   1.86 MBytes       
[  4] 114.00-115.00 sec   462 MBytes  3.88 Gbits/sec    0   2.03 MBytes       
[  4] 115.00-116.00 sec   494 MBytes  4.14 Gbits/sec    0   2.21 MBytes       
[  4] 116.00-117.00 sec   457 MBytes  3.83 Gbits/sec    0   2.35 MBytes       
[  4] 117.00-118.00 sec   496 MBytes  4.16 Gbits/sec    0   2.50 MBytes       
[  4] 118.00-119.00 sec   483 MBytes  4.05 Gbits/sec    0   2.64 MBytes       
[  4] 119.00-120.00 sec   496 MBytes  4.16 Gbits/sec    0   2.78 MBytes       
[  4] 120.00-121.00 sec   510 MBytes  4.28 Gbits/sec   37   2.08 MBytes       
[  4] 121.00-122.00 sec   487 MBytes  4.08 Gbits/sec    0   2.27 MBytes       
[  4] 122.00-123.00 sec   446 MBytes  3.74 Gbits/sec    0   2.43 MBytes       
[  4] 123.00-124.00 sec   464 MBytes  3.89 Gbits/sec    0   2.56 MBytes       
[  4] 124.00-125.00 sec   569 MBytes  4.77 Gbits/sec    0   2.66 MBytes       
[  4] 125.00-126.00 sec   458 MBytes  3.84 Gbits/sec   26    984 KBytes       
[  4] 126.00-127.00 sec   435 MBytes  3.65 Gbits/sec    0   1.25 MBytes       
[  4] 127.00-128.00 sec   475 MBytes  3.98 Gbits/sec    0   1.50 MBytes       
[  4] 128.00-129.00 sec   468 MBytes  3.93 Gbits/sec   16    960 KBytes       
[  4] 129.00-130.00 sec   433 MBytes  3.63 Gbits/sec    0   1.23 MBytes       
[  4] 130.00-131.00 sec   559 MBytes  4.69 Gbits/sec   16    829 KBytes       
[  4] 131.00-132.00 sec   432 MBytes  3.63 Gbits/sec    0   1.13 MBytes       
[  4] 132.00-133.00 sec   447 MBytes  3.75 Gbits/sec    0   1.39 MBytes       
[  4] 133.00-134.00 sec   464 MBytes  3.89 Gbits/sec    0   1.62 MBytes       
[  4] 134.00-135.00 sec   465 MBytes  3.90 Gbits/sec    1   1.30 MBytes       
[  4] 135.00-136.00 sec   468 MBytes  3.92 Gbits/sec   21   1.20 MBytes       
[  4] 136.00-137.00 sec   447 MBytes  3.75 Gbits/sec    0   1.45 MBytes       
[  4] 137.00-138.00 sec   439 MBytes  3.68 Gbits/sec    0   1.66 MBytes       
[  4] 138.00-139.00 sec   445 MBytes  3.74 Gbits/sec    0   1.84 MBytes       
[  4] 139.00-140.00 sec   446 MBytes  3.74 Gbits/sec    0   2.01 MBytes       
[  4] 140.00-141.00 sec   496 MBytes  4.16 Gbits/sec    0   2.19 MBytes       
[  4] 141.00-142.00 sec   498 MBytes  4.18 Gbits/sec    0   2.35 MBytes       
[  4] 142.00-143.00 sec   478 MBytes  4.01 Gbits/sec    0   2.49 MBytes       
[  4] 143.00-144.00 sec   434 MBytes  3.64 Gbits/sec    0   2.62 MBytes       
[  4] 144.00-145.00 sec   459 MBytes  3.85 Gbits/sec    0   2.74 MBytes       
